Lambda,EPW 3w No Grating,Lambda QE,QE,Total (Notmalized to 300nm)
645,0.00094226,,,0.4309
646,0.000932625,,,0.4236
647,0.000880412,,,0.3972
648,0.000876609,,,0.3929
649,0.000943171,,,0.4198
650,0.000902229,,,0.3988
651,0.000878623,,,0.3857
652,0.000797395,,,0.3476
653,0.000915706,,,0.3964
654,0.000962779,,,0.4139
655,0.000910979,,,0.3888
656,0.000901437,,,0.382
657,0.000905804,,,0.3811
658,0.000932702,,,0.3896
659,0.000927193,,,0.3844
660,0.00088238,,,0.3628
661,0.000865003,,,0.3528
662,0.000938209,,,0.3794
663,0.000937235,,,0.3759
664,0.000854623,,,0.3398
665,0.000864547,,,0.3409
666,0.000870428,,,0.3402
667,0.000834388,,,0.3233
668,0.000853154,,,0.3277
669,0.000788448,,,0.3002
670,0.000837473,,,0.316
671,0.000836518,,,0.3128
672,0.000795835,,,0.2949
673,0.000860242,,,0.3159
674,0.000860008,,,0.3129
675,0.000871566,,,0.3142
676,0.000852759,,,0.3045
677,0.000845196,,,0.299
678,0.000842778,,,0.2953
679,0.000847611,,,0.2942
680,0.00084223,,,0.2895
681,0.000810229,,,0.2758
682,0.000823275,,,0.2774
683,0.000855398,,,0.2854
684,0.000833763,,,0.2754
685,0.000775776,,,0.2536
686,0.000784044,,,0.2537
687,0.000807998,,,0.2587
688,0.000788416,,,0.2498
689,0.000792748,,,0.2485
690,0.000779787,,,0.2418
691,0.000780912,,,0.2394
692,0.000787117,,,0.2385
693,0.000770289,,,0.2306
694,0.000769955,,,0.2278
695,0.000789826,,,0.2308
696,0.000745759,,,0.2152
697,0.000753878,,,0.2149
698,0.000752451,,,0.2118
699,0.000719364,,,0.1999
700,0.000695785,,,0.1908
701,0.000736111,,,0.1993
702,0.00069415,,,0.1855
703,0.000682364,,,0.1801
704,0.000709652,,,0.185
705,0.000705832,,,0.1817
706,0.000725099,,,0.1842
707,0.000687748,,,0.1725
708,0.000644428,,,0.1595
709,0.000711416,,,0.1737
710,0.00070289,,,0.1693
711,0.000693942,,,0.1649
712,0.000676376,,,0.1585
713,0.000671483,,,0.1551
714,0.000689764,,,0.1571
715,0.000655208,,,0.1471
716,0.000650865,,,0.1441
717,0.000673573,,,0.1469
718,0.000767384,,,0.165
719,0.000767997,,,0.1626
720,0.000611787,,,0.1276
721,0.000642717,,,0.132
722,0.000614869,,,0.1243
723,0.000682614,,,0.1358
724,0.000797019,,,0.1561
725,0.000641206,,,0.1237
726,0.000614302,,,0.117
727,0.000646073,,,0.1215
728,0.000647404,,,0.1201
729,0.000638213,,,0.1168
730,0.000656856,,,0.1186
731,0.000634498,,,0.113
732,0.000705644,,,0.1239
733,0.000698114,,,0.1209
734,0.000603019,,,0.1029
735,0.000602682,,,0.1014
736,0.000563566,,,0.093
737,0.000582612,,,0.0942
738,0.000637642,,,0.1011
739,0.000648191,,,0.1006
740,0.000614266,,,0.0934
741,0.00061135,,,0.091
742,0.000605222,,,0.0881
743,0.000578276,,,0.0823
744,0.000484202,,,0.0673
745,0.000491665,,,0.0666
746,0.000583029,,,0.077
747,0.000567857,,,0.0731
748,0.000573259,,,0.0718
749,0.00056906,,,0.0695
750,0.00053035,,,0.0633
751,0.00052591,,,0.0614
752,0.000528524,,,0.0602
753,0.000522294,,,0.058
754,0.000542923,,,0.0588
755,0.000522086,,,0.0551
756,0.000506637,,,0.0521
757,0.000521902,,,0.0523
758,0.000512364,,,0.0499
759,0.000499758,,,0.0474
760,0.000476175,,,0.0439
761,0.000476805,,,0.0427
762,0.000490898,,,0.0426
763,0.000492756,,,0.0415
764,0.000466294,,,0.038
765,0.000421253,,,0.0335
766,0.000428992,,,0.0334
767,0.000480175,,,0.0365
768,0.000468268,,,0.0347
769,0.000443874,,,0.0321
770,0.000448102,,,0.0316
771,0.000425715,,,0.0292
772,0.000435964,,,0.0291
773,0.000440097,,,0.0286
774,0.000417833,,,0.0264
775,0.000429887,,,0.0264
776,0.000399757,,,0.0238
777,0.000387311,,,0.0223
778,0.000421749,,,0.0236
779,0.00040667,,,0.022
780,0.000398121,,,0.0208
781,0.000414069,,,0.0209
782,0.000417219,,,0.0203
783,0.000384809,,,0.0183
784,0.000388495,,,0.018
785,0.000355868,,,0.016
786,0.000388254,,,0.017
787,0.000384291,,,0.0164
788,0.000309884,,,0.0129
789,0.000321463,,,0.013
790,0.000328701,,,0.0129
791,0.000353702,,,0.0134
792,0.000379659,,,0.0139
793,0.000338289,,,0.0119
794,0.00036238,,,0.0121
795,0.000379611,,,0.0121
796,0.000340423,,,0.0103
797,0.000320964,,,0.0092
798,0.000324879,,,0.0089
799,0.000326821,,,0.0088
800,0.000311327,,,0.0081
